artist,debut,popularity,members,genre,country,gender
Nicki Nicole,2019,0,Solo,Hip Hop,AR,Female
Prvnci,2018,0,Solo,Hip Hop,US,Male
Montell Fish,2016,0,Solo,Hip Hop,US,Male
SCH,2015,0,Solo,Hip Hop,FR,Male
Eminem,1994,1,Solo,Hip Hop,US,Male
Drake,2009,2,Solo,Hip Hop,CA,Male
Kendrick Lamar,2010,3,Solo,Hip Hop,US,Male
Travis Scott,2013,4,Solo,Hip Hop,US,Male
Post Malone,2016,5,Solo,Hip Hop,US,Male
50 Cent,2003,6,Solo,Hip Hop,US,Male
Nicki Minaj,2010,7,Solo,Hip Hop,US,Female
Doechii,2019,8,Solo,Hip Hop,US,Female
XXXTENTACION,2015,9,Solo,Hip Hop,US,Male
Future,2011,10,Solo,Hip Hop,US,Male
Snoop Dogg,1993,11,Solo,Hip Hop,US,Male
Lil Wayne,1999,12,Solo,Hip Hop,US,Male
Kanye West,2004,13,Solo,Hip Hop,US,Male
Playboi Carti,2016,14,Solo,Hip Hop,US,Male
Wiz Khalifa,2006,15,Solo,Hip Hop,US,Male
Juice WRLD,2018,16,Solo,Hip Hop,US,Male
Cardi B,2015,17,Solo,Hip Hop,US,Female
Lil Baby,2017,18,Solo,Hip Hop,US,Male
Tyler The Creator,2011,19,Solo,Hip Hop,US,Male
21 Savage,2015,20,Solo,Hip Hop,GB,Male
A$AP Rocky,2011,21,Solo,Hip Hop,US,Male
Metro Boomin,2014,22,Solo,Hip Hop,US,Male
Central Cee,2017,23,Solo,Hip Hop,gb,Male
2Pac,1991,24,Solo,Hip Hop,US,Male
J. Cole,2011,25,Solo,Hip Hop,US,Male
YoungBoy Never Broke Again,2016,27,Solo,Hip Hop,US,Male
DJ Khaled,2007,29,Solo,Hip Hop,US,Male
Young Thug,2011,30,Solo,Hip Hop,US,Male
Dr. Dre,1992,31,Solo,Hip Hop,US,Male
JAY-Z,1996,32,Solo,Hip Hop,US,Male
Shubh,2021,33,Solo,Hip Hop,US,Male
Flo Rida,2007,34,Solo,Hip Hop,US,Male
Lil Nas X,2019,35,Solo,Hip Hop,US,Male
Megan Thee Stallion,2017,36,Solo,Hip Hop,US,Female
Tyga,2009,38,Solo,Hip Hop,US,Male
Will Smith,1997,39,Solo,Hip Hop,US,Male
Bizarrap,2018,40,Solo,Hip Hop,AR,Male
Kodak Black,2014,41,Solo,Hip Hop,US,Male
Don Toliver,2017,42,Solo,Hip Hop,US,Male
French Montana,2007,44,Solo,Hip Hop,US,Male
GloRila,2019,46,Solo,Hip Hop,US,Female
King Von,2018,47,Solo,Hip Hop,US,Male
Gunna,2016,48,Solo,Hip Hop,US,Male
Lil Peep,2015,49,Solo,Hip Hop,US,Male
Jul,2013,50,Solo,Hip Hop,FR,Male
